year,jurisdiction,Cause,area_ha
1990,Alberta,Human activity,2393.79999999998
1990,Alberta,Lightning,55482.5999999996
1990,Alberta,Unspecified,1008.8
1990,British Columbia,Human activity,40278.2999999995
1990,British Columbia,Lightning,35503.4999999994
1990,Manitoba,Human activity,5719.0
1990,Manitoba,Lightning,10426.0
1990,New Brunswick,Human activity,6188.10000000003
1990,New Brunswick,Lightning,6.9
1990,New Brunswick,Unspecified,23.4
1990,Newfoundland and Labrador,Human activity,3825.3
1990,Newfoundland and Labrador,Lightning,20777.0
1990,Northwest Territories,Human activity,11.98
1990,Northwest Territories,Lightning,104605.21
1990,Northwest Territories,Unspecified,0.21
1990,Nova Scotia,Human activity,1029.09
1990,Nova Scotia,Lightning,0.2
1990,Nova Scotia,Unspecified,38.87
1990,Ontario,Human activity,8672.00000203901
1990,Ontario,Lightning,174915.700002871
1990,Ontario,Unspecified,25.50000011
1990,Prince Edward Island,Human activity,82.0
1990,Prince Edward Island,Lightning,0.0
1990,Prince Edward Island,Unspecified,20.0
1990,Quebec,Human activity,18666.5
1990,Quebec,Lightning,64676.0999999999
1990,Saskatchewan,Human activity,35848.2861437003
1990,Saskatchewan,Lightning,180207.39210484
1990,Yukon,Human activity,1412.99
1990,Yukon,Lightning,181478.93
1991,Alberta,Human activity,2460.99999999999
1991,Alberta,Lightning,4118.49999999999
1991,Alberta,Unspecified,135.0
1991,British Columbia,Human activity,10923.6000000002
1991,British Columbia,Lightning,14265.2000000001
1991,Manitoba,Human activity,20668.1
1991,Manitoba,Lightning,130317.6
1991,New Brunswick,Human activity,3417.29999999999
1991,New Brunswick,Lightning,56.7000000000001
1991,New Brunswick,Unspecified,85.0
1991,Newfoundland and Labrador,Human activity,6863.4
1991,Newfoundland and Labrador,Lightning,49526.6
1991,Northwest Territories,Human activity,46.97
1991,Northwest Territories,Lightning,225401.42
1991,Northwest Territories,Unspecified,18.03
1991,Nova Scotia,Human activity,1712.09
1991,Nova Scotia,Lightning,17.98
1991,Nova Scotia,Unspecified,45.68
1991,Ontario,Human activity,11090.200003762
1991,Ontario,Lightning,307671.500002577
1991,Ontario,Unspecified,49.400000132
1991,Prince Edward Island,Human activity,40.0
1991,Prince Edward Island,Lightning,0.0
1991,Prince Edward Island,Unspecified,79.0
1991,Quebec,Human activity,42503.0999999999
1991,Quebec,Lightning,395828.3
1991,Saskatchewan,Human activity,33955.1599999997
1991,Saskatchewan,Lightning,164219.95
1991,Yukon,Human activity,805.14
1991,Yukon,Lightning,119465.68
1992,Alberta,Human activity,2002.19999999999
1992,Alberta,Lightning,1088.5
1992,Alberta,Unspecified,470.6
1992,British Columbia,Human activity,15559.9000000003
1992,British Columbia,Lightning,14892.9000000004
1992,Manitoba,Human activity,90957.6000000001
1992,Manitoba,Lightning,342816.2
1992,New Brunswick,Human activity,5330.9
1992,New Brunswick,Lightning,32.2
1992,New Brunswick,Unspecified,35.8
1992,Newfoundland and Labrador,Human activity,1435.5
1992,Newfoundland and Labrador,Lightning,374.2
1992,Northwest Territories,Human activity,269.43
1992,Northwest Territories,Lightning,34072.78
1992,Northwest Territories,Unspecified,2607.24
1992,Nova Scotia,Human activity,1111.11
1992,Nova Scotia,Lightning,0.11
1992,Nova Scotia,Unspecified,48.39
1992,Ontario,Human activity,5372.600002254
1992,Ontario,Lightning,170595.900000337
1992,Ontario,Unspecified,25.900000039
1992,Prince Edward Island,Human activity,41.0
1992,Prince Edward Island,Lightning,0.0
1992,Prince Edward Island,Unspecified,2.0
1992,Quebec,Human activity,8127.30000000001
1992,Quebec,Lightning,18984.2
1992,Saskatchewan,Human activity,9635.18000000005
1992,Saskatchewan,Lightning,88121.21
1992,Yukon,Human activity,5998.23000000001
1992,Yukon,Lightning,31816.84
1993,Alberta,Human activity,1489.71
1993,Alberta,Lightning,26170.3999999998
1993,Alberta,Unspecified,32.1
1993,British Columbia,Human activity,3400.19999999997
1993,British Columbia,Lightning,1783.19999999998
1993,Manitoba,Human activity,5117.4
1993,Manitoba,Lightning,62156.9999999999
1993,New Brunswick,Human activity,417.000000000001
1993,New Brunswick,Lightning,323.2
1993,New Brunswick,Unspecified,38.1
1993,Newfoundland and Labrador,Human activity,55.4
1993,Newfoundland and Labrador,Lightning,28425.0
1993,Northwest Territories,Human activity,84.47
1993,Northwest Territories,Lightning,856783.73
1993,Northwest Territories,Prescribed burn,7400.0
1993,Northwest Territories,Unspecified,17.63
1993,Nova Scotia,Human activity,362.78
1993,Nova Scotia,Lightning,2.8
1993,Nova Scotia,Unspecified,2.33
1993,Ontario,Human activity,9016.00000132801
1993,Ontario,Lightning,95608.600000483
1993,Ontario,Unspecified,40.200000013
1993,Prince Edward Island,Human activity,78.0
1993,Prince Edward Island,Lightning,0.0
1993,Prince Edward Island,Unspecified,9.0
1993,Quebec,Human activity,1062.2
1993,Quebec,Lightning,127171.8
1993,Saskatchewan,Human activity,132315.19
1993,Saskatchewan,Lightning,475884.65
1993,Yukon,Human activity,56.58
1993,Yukon,Lightning,115047.73
1994,Alberta,Human activity,2484.8
1994,Alberta,Lightning,94198.5799999997
1994,Alberta,Unspecified,43.35
1994,British Columbia,Human activity,12017.1000000001
1994,British Columbia,Lightning,17738.2000000004
1994,Manitoba,Human activity,471729.6
1994,Manitoba,Lightning,957056.099999997
1994,New Brunswick,Human activity,752.000000000003
1994,New Brunswick,Lightning,2.9
1994,New Brunswick,Unspecified,98.4
1994,Newfoundland and Labrador,Human activity,1309.7
1994,Newfoundland and Labrador,Lightning,108964.5
1994,Northwest Territories,Human activity,10126.82
1994,Northwest Territories,Lightning,2999302.32
1994,Northwest Territories,Prescribed burn,17882.0
1994,Northwest Territories,Unspecified,3.41
1994,Nova Scotia,Human activity,237.23
1994,Nova Scotia,Unspecified,5.21
1994,Ontario,Human activity,7455.000002144
