year,code,jurisdiction,season,tmean_c,tmax_c,precip_mm
1987,AB,Alberta,fire,13.053171558980782,18.826893308316745,345.9131094199507
1988,AB,Alberta,fire,12.588172925279556,18.31111002358358,398.25536518077865
1989,AB,Alberta,fire,13.022042534330925,18.582208613796944,398.7912947247477
1990,AB,Alberta,fire,13.54340342249348,19.48825618404335,302.4445110703772
1991,AB,Alberta,fire,13.467918143335105,19.06904631150428,379.81929516061393
1992,AB,Alberta,fire,11.348979935652602,16.96842530968378,362.1735329921968
1993,AB,Alberta,fire,12.108437002227467,17.70558729080314,398.31604239538774
1994,AB,Alberta,fire,13.81524706905879,19.461475778512355,330.38322124725806
1995,AB,Alberta,fire,12.780043340729549,18.467067284251875,331.3135572526693
1996,AB,Alberta,fire,11.591995056252163,16.811612226243874,432.17723481392034
1997,AB,Alberta,fire,12.738878899228977,18.16021126797512,474.3372432150734
1998,AB,Alberta,fire,14.546581751024778,20.316776600586063,304.6668030087632
1999,AB,Alberta,fire,12.257806275288383,17.91238870371828,335.22078410159395
2000,AB,Alberta,fire,11.284120656774594,16.63631360210192,410.36396410204645
2001,AB,Alberta,fire,12.957248534080623,18.618446641771268,349.3766251257668
2002,AB,Alberta,fire,11.767923203232353,17.441973255732393,305.8665104771815
2003,AB,Alberta,fire,12.471837733744984,18.2294876617439,321.64511461937195
2004,AB,Alberta,fire,11.400063113328038,16.929645802423167,342.4272246068311
2005,AB,Alberta,fire,11.727063589000661,17.264059987142844,374.6707727145666
2006,AB,Alberta,fire,13.666414297287126,19.257989163739794,355.4114095281863
2007,AB,Alberta,fire,12.245848195741555,17.70028582398203,361.9592254605504
2008,AB,Alberta,fire,12.867946308994707,18.571524193444095,314.9456018276066
2009,AB,Alberta,fire,12.688358018276292,18.52853393338655,286.5393451221119
2010,AB,Alberta,fire,12.090692493588186,17.496842612184388,353.6982393510972
2011,AB,Alberta,fire,13.250770783743087,18.879064502179965,331.85528338706314
2012,AB,Alberta,fire,14.239459502502594,20.019540056390372,324.89572768235564
2013,AB,Alberta,fire,13.81411151275659,19.416641656954475,336.1995203184311
2014,AB,Alberta,fire,13.22941235112826,19.011759849395887,292.75390587875484
2015,AB,Alberta,fire,13.432229188162955,19.241520065473154,267.64733172150716
2016,AB,Alberta,fire,13.626951661558396,19.100283542986297,429.5185118290761
2017,AB,Alberta,fire,13.94808455229733,19.913346290145935,326.4452854066106
2018,AB,Alberta,fire,12.647896258759042,18.368756837561143,347.8921663598956
2019,AB,Alberta,fire,12.149280871048205,17.544804885485927,399.44192990089425
2020,AB,Alberta,fire,12.392554231431127,17.84370304558819,449.35196957478723
2021,AB,Alberta,fire,13.808261043512562,19.606549174578788,319.74099292313014
2022,AB,Alberta,fire,13.846861585476065,19.62219142284855,306.98976201430713
2023,AB,Alberta,fire,15.490116489653438,21.377712865152663,337.3793098528895
2024,AB,Alberta,fire,13.732195850737183,19.42303442368891,360.1811837671316
2025,AB,Alberta,fire,14.696495105478292,20.705351961409725,273.6341769612
1959,BC,British Columbia,fire,8.1858691950097,13.316361985531813,466.17003727723875
1960,BC,British Columbia,fire,8.785979754903693,14.09629081489168,434.9675248505991
1961,BC,British Columbia,fire,10.567889018111163,16.36692745177432,349.6487303795715
1962,BC,British Columbia,fire,8.839377851306116,14.213096121415738,457.8868156711153
1963,BC,British Columbia,fire,9.948446455166007,15.49054159603337,393.8886397145322
1964,BC,British Columbia,fire,8.181456678170283,13.564933300730717,495.15925035072246
1965,BC,British Columbia,fire,9.508491391426308,15.25091026881793,301.53582969894705
1966,BC,British Columbia,fire,9.147794297195263,14.722617025614214,409.064504578234
1967,BC,British Columbia,fire,10.480670725841406,16.277577927061028,341.1464612196744
1968,BC,British Columbia,fire,8.995937744503363,14.395566085456254,434.86644515101506
1969,BC,British Columbia,fire,9.82278827688624,15.43781913488281,424.0069122296845
1970,BC,British Columbia,fire,9.327566625888455,14.952717689413515,378.327150924956
1971,BC,British Columbia,fire,9.79987260835082,15.569619290767827,410.72234239636697
1972,BC,British Columbia,fire,8.929659340951233,14.517380263376236,382.60933718227597
1973,BC,British Columbia,fire,8.896318009074019,14.304328231913935,400.4912822139127
1974,BC,British Columbia,fire,8.747404958667907,14.166964390005672,383.22853962371823
1975,BC,British Columbia,fire,9.23245622081203,14.687290345703278,378.9636310940975
1976,BC,British Columbia,fire,8.627643449185914,13.77479263152237,528.0947956504017
1977,BC,British Columbia,fire,9.560629940299131,14.680893342488089,456.24415631027034
1978,BC,British Columbia,fire,9.983339238853722,15.345106545739581,433.7258549877174
1979,BC,British Columbia,fire,10.537254347240294,15.952294847898361,377.531625344037
1980,BC,British Columbia,fire,9.862374391646437,14.976364818122443,502.96294150341214
1981,BC,British Columbia,fire,10.63160888959987,16.039047825060727,430.12354668455623
1982,BC,British Columbia,fire,10.484214532206648,15.736007433559706,398.3089789654544
1983,BC,British Columbia,fire,9.685661253216825,14.910304775099261,501.19100344940176
1984,BC,British Columbia,fire,8.864243791757536,13.979004556790686,476.8784110075572
1985,BC,British Columbia,fire,9.93917631473377,15.561477118585211,353.80954601696067
1986,BC,British Columbia,fire,9.84961844079108,15.166230500621669,415.5712676666445
1987,BC,British Columbia,fire,10.712441610060065,16.1920925276363,452.66208685299614
1988,BC,British Columbia,fire,9.869280345902864,15.233030250687147,482.17866057645244
1989,BC,British Columbia,fire,11.32047358718364,16.79140400033783,383.4830918020032
1990,BC,British Columbia,fire,11.516940073358604,17.03487327011596,370.80565362325046
1991,BC,British Columbia,fire,10.576161493744287,15.867964760804506,436.9636475451928
1992,BC,British Columbia,fire,10.159072392684092,15.511264979561743,383.4017377347586
1993,BC,British Columbia,fire,10.756692644717905,16.16712062111493,448.2008049093971
1994,BC,British Columbia,fire,11.333395203505274,16.692874161488874,418.4829690293117
1995,BC,British Columbia,fire,11.01080917930724,16.42279711252711,361.10405618750633
1996,BC,British Columbia,fire,9.089722536292532,14.231995828090433,443.7663986552228
1997,BC,British Columbia,fire,10.486645189109568,15.75126220625619,507.3836417111075
1998,BC,British Columbia,fire,12.027234265060589,17.54625234536258,336.7741844752035
1999,BC,British Columbia,fire,9.215640217396809,14.354943160035875,451.85117930812737
2000,BC,British Columbia,fire,9.145028354805646,14.14941111302491,469.22548911239187
2001,BC,British Columbia,fire,9.521921420001814,14.606936052427681,504.6150513027216
2002,BC,British Columbia,fire,9.455017175476307,14.624029464665968,420.4024945906515
2003,BC,British Columbia,fire,10.233738638287626,15.5690822851202,395.8138734326802
2004,BC,British Columbia,fire,11.180305956444494,16.35369240714495,465.4019750890306
2005,BC,British Columbia,fire,10.424230465945067,15.569384563242732,476.7022276278109
2006,BC,British Columbia,fire,11.13423274909095,16.535786510131377,338.7825571608905
2007,BC,British Columbia,fire,10.083493676821226,15.186255131183618,465.1786727677484
2008,BC,British Columbia,fire,10.130212297630516,15.42128420029352,396.72001132943564
2009,BC,British Columbia,fire,11.202346295152603,16.720633226072273,388.12121912956354
2010,BC,British Columbia,fire,10.178327010604786,15.417967072289716,405.22963768527336
2011,BC,British Columbia,fire,9.820019283419722,14.819006391877313,519.2589920899316
2012,BC,British Columbia,fire,10.857342320091211,16.243760035294816,365.29454203119246
2013,BC,British Columbia,fire,11.72853069667113,17.069427475486396,437.0190831568572
2014,BC,British Columbia,fire,11.541529906563932,17.00378692534197,346.92588871796767
2015,BC,British Columbia,fire,11.520219799184437,16.82602175470513,396.4577364070158
2016,BC,British Columbia,fire,11.224277732581097,16.39359465558685,473.60194322209173
2017,BC,British Columbia,fire,11.615985405162991,17.1388892096403,376.9786521921853
2018,BC,British Columbia,fire,11.354188383926001,16.78604167034165,353.78245936934627
