jurisdiction,powered,n,year0,year1,r_raw,p_raw,p_raw_BH,ci_raw,neff_raw,rho_spearman,r_detrend,p_detrend,r_fdiff,p_fdiff,r_precip_raw,r_partial_T|P,pct_per_C,durbin_watson,r_raw_no2023_25
Canada,True,54,1972,2025,0.6124275617486196,5.340156677088949e-06,,"[0.30,0.66]",46.5,0.5531923003621116,0.5734437121420258,6.796465561502016e-06,0.46274689538664215,0.005279631807038767,-0.48849870298856773,0.5833657405607091,80.22241095480322,1.9984244953715828,0.5156248889662381
Yukon,True,54,1972,2025,0.6071908729660082,2.161591530642513e-06,2.593909836771016e-05,"[0.40,0.72]",51.3,0.6831713360015246,0.531153200792813,3.592342341455996e-05,0.48515455143155395,0.00211615037794113,-0.49604510559207343,0.5678694257129241,152.99655959707596,2.232215522209188,0.5872417167201266
British Columbia,True,54,1972,2025,0.5927154691160049,0.00015991661865215933,0.0006396664746086373,"[0.26,0.70]",35.4,0.5804840861444635,0.4327201330387244,0.002076615853649688,0.4606829514930033,0.002664898412015153,-0.4995861359853883,0.48365651829055023,166.95767482650598,1.5333301549757392,0.5138014557478036
Northwest Territories,True,54,1972,2025,0.5612282170341929,2.6485741867539237e-05,0.00015891445120523544,"[0.25,0.69]",49.1,0.597636744806556,0.609768937968191,1.8792550541001273e-06,0.505330321758239,0.0015321339366218144,-0.4371159299029973,0.6209657503600556,97.60207747211228,1.7959541436401603,0.505671809301246
Alberta,True,54,1972,2025,0.4817908396430416,0.0012507428927340236,0.002412239463140775,"[0.17,0.58]",41.9,0.44372022107871156,0.3415862514642851,0.014692612790469881,0.3313249000014458,0.032274523640396006,-0.46925029015807135,0.3605075790556854,156.45243882709389,1.5589072145957286,0.3972729227116635
Nova Scotia,True,54,1972,2025,0.4759925239816969,0.0008484527748382242,0.002036286659611738,"[0.10,0.61]",45.8,0.46811116228708666,0.25116687959767775,0.06695223566980277,0.20453578011920273,0.2363672277092543,-0.1917045103188657,0.48137711149514667,920.5790267247163,1.896700793620944,0.42375343765341755
Manitoba,True,54,1972,2025,0.4636856054243553,0.00041354074007284795,0.001240622220218544,"[0.24,0.66]",54.0,0.49487326091099665,0.5424069583066592,2.2741300409305675e-05,0.522377532753966,0.0012127733136219196,-0.40740478556056314,0.4272731682967672,72.80144788659548,1.8724458462409204,0.4651324597354195
Saskatchewan,True,54,1972,2025,0.4390244211628827,0.0014071396868321187,0.002412239463140775,"[0.15,0.57]",50.1,0.4838193253287592,0.3621709969151025,0.007536338724536951,0.38485591226289634,0.017137134573691173,-0.48183736393429305,0.34214327118482707,78.8205884231499,1.772645067940436,0.372556454120081
Ontario,True,54,1972,2025,0.40090311872193857,0.0026627289173171568,0.0039940933759757356,"[0.26,0.63]",54.0,0.4082713931770535,0.46333718089501413,0.0005129001489549694,0.3439122910455263,0.06212223024799781,-0.5311327716050132,0.2511870881228699,111.07615300121853,2.319760017586235,0.365969585824472
Nunavut,True,54,1972,2025,0.27368625097942884,0.08667864750409125,0.115571530005455,"[-0.04,0.45]",40.2,0.24359591961753485,-0.05696171494445486,0.6857524783247779,0.1410419280011041,0.40353791246090753,0.1909273722895038,0.2923403154854059,85.17956728331926,0.8876036927866161,0.22126648888060121
Quebec,True,54,1972,2025,0.15501264641188092,0.2630405826928104,0.31564869923137245,"[-0.08,0.35]",54.0,0.11987802553840286,0.25013820781056006,0.07088803193449433,0.14905766152209524,0.44982718534323585,-0.48812111501055294,0.20106104679256348,30.801044998590864,2.07661596349653,0.09916578615853795
Newfoundland and Labrador,True,54,1972,2025,0.13674852631283796,0.37099146671086347,0.40471796368457835,"[-0.12,0.40]",44.9,0.040899561654278625,0.2643347724603049,0.055349627603726956,0.1891763257272418,0.2964056999955999,-0.36587819886802997,0.16192624598003508,38.31477353370152,1.50558817866972,0.118845292952061
New Brunswick,True,54,1972,2025,-0.014791083066876286,0.9220159480932077,0.9220159480932077,"[-0.46,0.21]",46.3,0.0018465148659247226,-0.06446723437936067,0.643269107636581,-0.10317545802993103,0.5844335440156403,-0.18585702083538636,-0.0350421248070088,-6.651100224544315,1.3144515987329979,-0.07650661527702743
Prince Edward Island,False,54,1972,2025,0.30133341239696937,0.02680998083223006,,"[-0.00,0.36]",54.0,0.23354968324845687,0.20822160483061178,0.13345861052843713,0.14074788740508948,0.5205985980357107,-0.13506179330882873,0.3088052211403132,17.845389519098397,2.2146895136253537,0.32190738881614644
