year,jurisdiction,code,tmean_c,tmax_c,precip_mm,jja_tmean_c,jja_tmax_c,jja_precip_mm,season
1959,Canada,CANADA,9.34747011154605,14.01625069075801,419.5201992994666,12.176114081648112,16.986297759525876,267.2645984777821,fire
1960,Canada,CANADA,10.312354319598732,15.03386215637975,422.0342478854534,12.970877626662077,17.81181418426447,274.09743124573475,fire
1961,Canada,CANADA,10.53930635264344,15.654722922160214,358.3318182550508,14.004341168927631,19.277340360802672,219.69253778289445,fire
1962,Canada,CANADA,9.81479723840342,14.605168815706492,396.0432740415041,12.785375617175431,17.699390936969625,262.8793246094051,fire
1963,Canada,CANADA,10.096561608963093,15.074252597736898,372.12265778482686,13.195129082231166,18.198690365709087,252.5841918199036,fire
1964,Canada,CANADA,9.669600119011285,14.636753174134526,404.77091681508364,12.519131523454195,17.65086188978926,254.41714669836495,fire
1965,Canada,CANADA,9.08236960357156,14.037292795981012,368.43390234824375,12.068407044450266,17.121561081708755,236.7071433513841,fire
1966,Canada,CANADA,10.079099649329146,15.04656745010759,365.7826990805509,12.892765624883813,17.949591926193893,244.8745583214533,fire
1967,Canada,CANADA,10.211943527264825,15.396191489537959,323.3458773874092,13.156074776571511,18.517626157508023,204.83746731148426,fire
1968,Canada,CANADA,9.64448365516393,14.419916527106984,377.50154821339163,11.788058206919322,16.679288153843572,250.9589647601223,fire
1969,Canada,CANADA,9.317340693908188,14.197701767460341,373.5076564945717,12.304914182083984,17.334087969015602,238.19583383476305,fire
1970,Canada,CANADA,10.037640213772777,15.035198753673988,376.43425866762453,13.434491344773821,18.654323264210912,232.45383689525147,fire
1971,Canada,CANADA,10.338383947251451,15.41287210422603,361.5508748953012,12.93457402519795,18.053941983103222,233.36780697011446,fire
1972,Canada,CANADA,9.183688322812337,14.216128477618389,358.5030803664889,12.381558045449145,17.505326153225813,230.898257151422,fire
1973,Canada,CANADA,10.918342177630352,15.702398895246532,393.5080739644832,13.650440844160876,18.506016985308985,264.8809589786024,fire
1974,Canada,CANADA,9.261424909526392,13.939972907351757,399.9123498411812,12.65383198879346,17.547941900145027,259.01794282361124,fire
1975,Canada,CANADA,10.597272488277085,15.380788906882072,381.429353135596,13.39290821555926,18.22389149151023,261.588990954317,fire
1976,Canada,CANADA,10.644672224725502,15.673274306928494,398.0269781820779,13.287218643373906,18.407463367711657,261.2399950462014,fire
1977,Canada,CANADA,10.174863009951851,14.871138667958762,403.0708700787892,12.360521795369774,17.05847550348716,271.3356489560315,fire
1978,Canada,CANADA,9.44296947696263,14.340006040676332,399.6074789044248,12.04866689649305,17.11696129388274,261.6589377356686,fire
1979,Canada,CANADA,10.311255939757396,15.215911478585062,385.9954290669972,13.317440009970754,18.43882729463707,241.38958164398903,fire
1980,Canada,CANADA,10.31907282686219,15.093767639190846,409.82954090973,13.037149209375785,17.899001521835643,260.0958393866153,fire
1981,Canada,CANADA,10.98722009984542,15.993001570511236,354.36339335623103,13.716750706458408,18.84529880878304,225.00229157621132,fire
1982,Canada,CANADA,10.096090010722923,14.873022679324036,377.6625931578444,12.579952039647067,17.434391429483632,250.05372945299652,fire
1983,Canada,CANADA,10.22857491507144,15.110244930616227,400.6985902244672,13.770041920617098,18.79726422249263,251.64061965835384,fire
1984,Canada,CANADA,10.405003131279182,15.086336049435854,417.5193755777628,13.788282176529622,18.660157511685345,268.6016595683396,fire
1985,Canada,CANADA,9.927719145165128,14.719301163965843,381.8690478168019,12.5612111813619,17.516449243757897,245.81694286001635,fire
1986,Canada,CANADA,9.912331008126168,14.835449609378868,390.1076604553487,12.449460118487567,17.528428482669856,257.5698270446283,fire
1987,Canada,CANADA,10.724364386363591,15.622079478730713,384.13534964045823,13.06690729542131,17.951520307235768,257.5614840105497,fire
