year,jurisdiction,code,tmean_c,tmax_c,precip_mm,jja_tmean_c,jja_tmax_c,jja_precip_mm,season
1988,Canada,CANADA,10.800086665685535,15.724883106418027,409.9847596404902,13.731080156541987,18.75767222190551,263.55371034705115,fire
1989,Canada,CANADA,11.360943599989078,16.421356401356086,360.0159528087378,14.354131321601043,19.488056872607473,223.18702485562966,fire
1990,Canada,CANADA,10.681343993461272,15.634453551948486,363.20360978245435,13.667863833409845,18.72993458207808,235.93754251776392,fire
1991,Canada,CANADA,11.163646808542444,16.03624214891642,387.9338159171926,14.03668458300734,19.027782229583842,251.5102214087331,fire
1992,Canada,CANADA,9.20700054249778,14.085401289924675,388.04470261891606,12.206766053986666,17.240972945165996,229.20025184981995,fire
1993,Canada,CANADA,10.40755652952355,15.120581520085892,412.45600996092975,13.22053428650239,18.014554776657484,270.81636587178815,fire
1994,Canada,CANADA,11.23902253499628,16.170677961798237,379.93354476092003,14.177686621107714,19.258037601753266,248.57100061005568,fire
1995,Canada,CANADA,11.21717084439881,16.175722096433756,368.1749250710716,14.048948418781524,18.96896949975043,257.961494378964,fire
1996,Canada,CANADA,10.475867971814058,15.202673251470834,389.1670094158549,13.731933434883196,18.696443591218667,260.8062272567353,fire
1997,Canada,CANADA,10.643880575502171,15.364535836760517,421.2098757858249,13.670709524927556,18.580329303204163,267.38941783918915,fire
1998,Canada,CANADA,12.264155542701097,17.093120771645257,373.0740375305923,14.774945673550594,19.56403207642904,245.09017269433247,fire
1999,Canada,CANADA,11.144733169063102,15.974418300013793,422.7994775250189,13.670858742068498,18.550735310183377,266.3317230909588,fire
2000,Canada,CANADA,9.855132604565648,14.432042934548445,422.33563245487863,12.777922675243357,17.535710125652844,265.2442460060258,fire
2001,Canada,CANADA,11.215772057985282,15.998722257075794,405.18370796776003,13.62726972352387,18.419618743532588,260.84436190769173,fire
2002,Canada,CANADA,10.033126999776647,14.772733403163116,403.0391796206538,13.250782575242955,18.194889875407956,256.85850901774245,fire
2003,Canada,CANADA,11.24425200629173,16.150255999448643,381.9049728022455,13.924681060444522,18.901730771477528,248.47042624790848,fire
2004,Canada,CANADA,9.756121137899326,14.471873626444907,391.5896085737272,12.988340031638376,17.89616302050727,236.8610295870967,fire
2005,Canada,CANADA,10.961180031753578,15.768021768147683,416.4908777250782,13.55390487982495,18.458831358098543,267.07611730134346,fire
2006,Canada,CANADA,11.73608740713489,16.582603837803994,380.2483880732818,14.360704314468489,19.264665449746737,249.07547590447655,fire
2007,Canada,CANADA,10.54098965773545,15.27141414092534,421.66102559663216,13.481782853377041,18.218434506329984,261.6303025799868,fire
2008,Canada,CANADA,10.803776980364487,15.50693958700991,405.84796454868035,13.71784787141625,18.496859450124187,277.180918578415,fire
2009,Canada,CANADA,10.323419141858524,15.081982880757796,382.98789349999714,12.940705878284353,17.669964582894647,252.01266471849218,fire
2010,Canada,CANADA,11.124145210076612,15.775112468922755,413.4243410288828,14.048130538539409,18.84817586861716,259.78810836114116,fire
2011,Canada,CANADA,11.265353390589569,16.063206305251104,403.7924545054997,13.735140980794908,18.49336047511403,272.1970249649373,fire
2012,Canada,CANADA,12.061171330159276,16.901557398828345,381.6394317546744,14.831883114315003,19.68965413503371,248.57556890048045,fire
2013,Canada,CANADA,11.52359627264273,16.49294361117652,385.9425496544719,14.296755778929553,19.245655250207918,245.63069626859104,fire
2014,Canada,CANADA,11.299678565411146,16.14545166948203,387.845493946542,14.502621668807468,19.473099960869842,244.59504692167644,fire
2015,Canada,CANADA,11.374224004730955,16.244104516197723,402.4800537724319,13.912135845004881,18.70365583158487,267.10890267222703,fire
2016,Canada,CANADA,11.674382106239346,16.457907888970716,421.95830689962054,14.21458557000454,18.975456320840507,275.6879753839812,fire
2017,Canada,CANADA,11.679568796496913,16.556149063132064,385.3444134927032,14.14445789018485,19.15511237414146,242.3685019873193,fire
2018,Canada,CANADA,10.703305437009758,15.721710047012987,395.36842467896906,14.001965787780486,19.10863415398178,261.02727925075766,fire
2019,Canada,CANADA,10.72364737948665,15.392379895165513,410.28620215605184,13.340636125939485,18.10091264115973,282.69381603175526,fire
2020,Canada,CANADA,10.885075376309207,15.52100637862991,453.8962122106241,14.068843229833357,18.755816218961666,310.1231369021775,fire
2021,Canada,CANADA,11.697984107121139,16.58335120055713,396.579034759445,14.73944981968908,19.89413197825178,238.10202142266812,fire
2022,Canada,CANADA,11.867722757906924,16.785451608577283,396.5423117830549,14.681887373680617,19.645937642467132,259.8779263595958,fire
2023,Canada,CANADA,13.418996586476394,18.515310647028773,352.29511361107336,15.644392458564294,20.587472755248324,248.7305731229598,fire
2024,Canada,CANADA,12.732074971862184,17.63974865656645,383.6764425034586,15.193010627285323,20.234776940475516,240.13084816361757,fire
2025,Canada,CANADA,12.191625021422922,17.244068445119062,354.05482110408,14.50812730409576,19.555567815260936,242.2199330087909,fire
