year,fireseason_anom_c,fireseason_lowess_c,fireseason_anom_c_ge50N
1960,0.4187159,-0.022714819819348028,0.4023388
1961,0.3556342,-0.02254549304548315,0.36375016
1962,-0.13979988,-0.02090439523846364,-0.11412276
1963,0.10346124,-0.018252991155747543,0.17138663
1964,-0.37296128,-0.015026737813898808,-0.36601728
1965,-0.8778709,-0.011730759621987124,-0.89273703
1966,0.18396486,-0.008715828446524422,0.2936016
1967,0.14999065,-0.0059698502450335035,0.17126569
1968,-0.3843821,-0.002963440687328721,-0.4344534
1969,-0.7807107,0.0010030917843742632,-0.88838816
1970,-0.023242265,0.006564324931710271,-0.094004564
1971,0.33884308,0.014143912508213109,0.37061554
1972,-0.6845012,0.023961498968125976,-0.7669775
1973,0.9810745,0.03611219580895474,1.066313
1974,-0.5821802,0.05064609036463314,-0.5680854
1975,0.77549493,0.06745928782080841,0.7373506
1976,0.61431026,0.08632306806530199,0.6970746
1977,0.17448911,0.10695136780158854,0.21381621
1978,-0.5165033,0.12930277427497905,-0.63089114
1979,0.1633303,0.15365954448118374,0.14525244
1980,0.078327514,0.17998191512079284,0.13017145
1981,0.7396531,0.20812843601483838,0.85561484
1982,-0.11728679,0.237679372452664,-0.09637374
1983,0.053391982,0.26798529882277483,-0.07657914
1984,0.19651124,0.29832614964165544,0.23553483
1985,-0.23588808,0.32832712556126187,-0.23985298
1986,-0.26264676,0.3579930518384716,-0.21948305
1987,0.43709746,0.38743651955115627,0.38578644
1988,0.5928153,0.41672191588477103,0.5468445
1989,1.0572712,0.4456254271525594,1.1009818
1990,0.42065984,0.4741495257797448,0.4502625
1991,0.9216564,0.5027406705604465,0.96667737
1992,-0.8627947,0.5321206052694933,-0.95552415
1993,0.24432155,0.5627576507580041,0.2683136
1994,1.013283,0.5949233647662905,1.1597621
1995,0.8358265,0.6288764232784121,0.86098754
1996,0.4282298,0.6646236743523559,0.44757327
1997,0.63596344,0.7020068393362476,0.77616394
1998,2.0786014,0.7402708617349911,2.2031896
1999,1.1753641,0.778508530924984,1.0378882
2000,0.0809816,0.8160166192361731,0.095191956
2001,1.3882308,0.8524199343172166,1.3879864
2002,0.21658118,0.8875354494762505,0.10518509
2003,1.2672844,0.9214371873222689,1.2782706
2004,-0.26743755,0.9544620758851917,-0.34156078
2005,0.94239295,0.9883287847790477,0.8156041
2006,1.7181308,1.0249781494579688,1.8041805
2007,0.5931579,1.0634961338588076,0.52969086
2008,0.8911452,1.1031733759302107,0.9692044
2009,0.44912177,1.1436120474739953,0.47175565
2010,1.1106256,1.1845983420728077,1.0596415
2011,1.3806612,1.2260220296568851,1.4256945
2012,2.0767293,1.2678136909957762,2.1458786
2013,1.4944845,1.309913228661454,1.6098255
2014,1.2892487,1.3522548434293002,1.363476
2015,1.4001372,1.3947810540033307,1.3609074
2016,1.6931874,1.4374508803053856,1.7443088
2017,1.5482559,1.4802335163093958,1.7005227
2018,0.52018654,1.5230989761626643,0.3109009
2019,0.6161115,1.5660268280611211,0.65542114
2020,0.8734999,1.6090282706061532,0.81673944
2021,1.4611664,1.6521482573649233,1.4092948
2022,1.7729467,1.6954582806967802,1.8412266
2023,2.9833395,1.7390377959332397,3.2444701
2024,2.580056,1.7829551844188507,2.618171
2025,2.0378067,1.8272459682918465,2.1323805
