year,jurisdiction,area_ha,tmean_c,tmax_c,precip_mm
1972,Alberta,47311.4191945597,11.530034074015417,17.307447723242465,299.25486544487865
1973,Alberta,7811.988053718701,12.257451503374233,17.852218517959724,424.7554790295468
1974,Alberta,17211.700967912042,10.686462229006668,16.118189829436325,347.0623869410147
1975,Alberta,3604.6219944565,12.00819996404639,17.405806924553715,403.47321357538385
1976,Alberta,17806.1804214021,12.746456069187923,18.271705896916313,382.4016683549108
1977,Alberta,8021.527092783,11.518027679980936,16.778690437601462,417.25242390405583
1978,Alberta,5368.5914033435,11.815539246546262,17.429775071075753,401.23376392087783
1979,Alberta,162300.11207421124,12.401552485000568,18.056672202192317,319.3540725337724
1980,Alberta,628234.8502065006,12.405632087443296,17.775997648339892,402.90743798095167
1981,Alberta,1238398.4445909148,14.024028387965837,20.00890918496431,273.90266868008
1982,Alberta,657445.1914250149,12.32102909657339,17.956796638251603,322.6199059262308
1983,Alberta,1962.6152796691,11.83672764974492,17.477449210995953,363.5141224174917
1984,Alberta,68923.8464404081,11.770157198415314,17.2398324535408,413.8685363539008
1985,Alberta,12042.9740956303,11.832460614059713,17.722857589392255,328.62306471517843
1986,Alberta,2030.33601272608,12.09543056928535,17.760746226914605,378.329520071754
1987,Alberta,30095.305785667788,13.053171558980782,18.826893308316745,345.9131094199507
1988,Alberta,10525.772171579309,12.588172925279556,18.31111002358358,398.25536518077865
1989,Alberta,3867.05889416707,13.022042534330923,18.582208613796944,398.7912947247477
1990,Alberta,25327.100639349515,13.54340342249348,19.48825618404335,302.4445110703772
1991,Alberta,3294.4401058064204,13.467918143335105,19.06904631150428,379.81929516061393
1992,Alberta,1354.00784841631,11.348979935652602,16.96842530968378,362.1735329921968
1993,Alberta,21677.531429373117,12.108437002227468,17.70558729080314,398.31604239538774
1994,Alberta,25960.98390939437,13.81524706905879,19.461475778512355,330.38322124725806
1995,Alberta,291896.01746423234,12.780043340729549,18.467067284251875,331.3135572526693
1996,Alberta,1116.0144969836,11.591995056252165,16.811612226243874,432.17723481392034
1997,Alberta,21685.87079926539,12.738878899228975,18.16021126797512,474.3372432150734
1998,Alberta,603338.1454504032,14.546581751024778,20.316776600586063,304.6668030087632
1999,Alberta,102432.75859918164,12.257806275288385,17.91238870371828,335.22078410159395
2000,Alberta,16035.532872834629,11.284120656774594,16.63631360210192,410.36396410204645
2001,Alberta,168904.59983612504,12.957248534080623,18.618446641771268,349.3766251257668
2002,Alberta,411245.168744824,11.767923203232352,17.441973255732393,305.8665104771815
2003,Alberta,69137.16718803592,12.471837733744984,18.2294876617439,321.64511461937195
2004,Alberta,228303.3220368553,11.400063113328038,16.929645802423167,342.4272246068311
2005,Alberta,61089.09298729661,11.72706358900066,17.264059987142844,374.6707727145666
2006,Alberta,153676.98625533897,13.666414297287126,19.257989163739794,355.4114095281863
2007,Alberta,89063.22933655714,12.245848195741557,17.70028582398203,361.9592254605504
2008,Alberta,18796.413989428773,12.867946308994709,18.571524193444095,314.9456018276066
2009,Alberta,61242.08525948092,12.688358018276292,18.52853393338655,286.5393451221119
2010,Alberta,72224.56045761074,12.090692493588186,17.496842612184388,353.6982393510972
2011,Alberta,735110.0583327651,13.250770783743087,18.879064502179965,331.85528338706314
2012,Alberta,335107.06358261965,14.239459502502594,20.019540056390372,324.89572768235564
2013,Alberta,18665.935058755447,13.81411151275659,19.416641656954475,336.1995203184311
2014,Alberta,27842.403005702257,13.22941235112826,19.011759849395887,292.75390587875484
2015,Alberta,412767.7968310826,13.432229188162957,19.241520065473154,267.64733172150716
2016,Alberta,504515.9556672784,13.626951661558396,19.100283542986297,429.5185118290761
2017,Alberta,46468.03157142709,13.94808455229733,19.913346290145935,326.4452854066106
2018,Alberta,47785.35845180147,12.647896258759042,18.368756837561143,347.8921663598956
2019,Alberta,711028.8904147987,12.149280871048203,17.544804885485927,399.44192990089425
2020,Alberta,2775.0367010942114,12.392554231431127,17.84370304558819,449.3519695747872
2021,Alberta,55895.089963787934,13.808261043512562,19.606549174578788,319.74099292313014
2022,Alberta,123213.20194030993,13.846861585476065,19.62219142284855,306.98976201430713
2023,Alberta,2083349.8281924785,15.490116489653438,21.377712865152663,337.3793098528895
2024,Alberta,722791.708823911,13.732195850737185,19.42303442368891,360.1811837671316
2025,Alberta,563227.0742425676,14.696495105478292,20.705351961409725,273.6341769612
1972,British Columbia,21547.542756486735,8.929659340951233,14.517380263376236,382.609337182276
1973,British Columbia,32781.134355418755,8.896318009074019,14.304328231913937,400.4912822139127
1974,British Columbia,14788.96040030859,8.747404958667907,14.166964390005672,383.22853962371823
1975,British Columbia,20782.695698393534,9.23245622081203,14.687290345703278,378.9636310940975
1976,British Columbia,45017.42702958131,8.627643449185914,13.77479263152237,528.0947956504017
1977,British Columbia,3111.6240950914994,9.560629940299131,14.680893342488089,456.24415631027034
